t_s,tau,x_abs_m,z_abs_m,x_rel_O2_mm,z_rel_O2_mm,vx_m_s,vz_m_s,v_m_s,theta_deg,fan_open,A_face_cm2,Fx_qs_mN,Fz_qs_mN,phase
0.000,0.0000,0.09490,-0.08500,31.50,-89.00,-0.0078,0.0000,0.0000,0.0,0.750,14.44,0.1,-0.0,power
0.002,0.0035,0.09488,-0.08500,31.48,-89.00,-0.0156,0.0000,0.0156,0.0,0.783,14.98,0.2,-0.0,power
0.004,0.0071,0.09484,-0.08500,31.44,-89.00,-0.0311,0.0000,0.0311,0.0,0.817,15.52,1.0,-0.0,power
0.006,0.0106,0.09476,-0.08500,31.36,-89.00,-0.0467,0.0000,0.0467,0.0,0.850,16.05,2.2,-0.0,power
0.008,0.0142,0.09465,-0.08500,31.25,-89.00,-0.0622,0.0000,0.0622,0.0,0.883,16.59,4.1,-0.0,power
0.010,0.0177,0.09451,-0.08500,31.11,-89.00,-0.0778,0.0000,0.0778,0.0,0.917,17.13,6.7,-0.0,power
0.012,0.0213,0.09434,-0.08500,30.94,-89.00,-0.0933,0.0000,0.0933,0.0,0.950,17.67,10.0,-0.0,power
0.014,0.0248,0.09414,-0.08500,30.74,-89.00,-0.1089,0.0000,0.1089,0.0,0.983,18.20,14.0,-0.0,power
0.016,0.0284,0.09390,-0.08500,30.50,-89.00,-0.1244,0.0000,0.1244,0.0,1.000,18.47,18.6,-0.0,power
0.018,0.0319,0.09364,-0.08500,30.24,-89.00,-0.1400,0.0000,0.1400,0.0,1.000,18.47,23.5,-0.0,power
0.020,0.0354,0.09334,-0.08500,29.94,-89.00,-0.1556,0.0000,0.1556,0.0,1.000,18.47,29.0,-0.0,power
0.022,0.0390,0.09302,-0.08500,29.62,-89.00,-0.1711,0.0000,0.1711,0.0,1.000,18.47,35.1,-0.0,power
0.024,0.0425,0.09266,-0.08500,29.26,-89.00,-0.1867,0.0000,0.1867,0.0,1.000,18.47,41.8,-0.0,power
0.026,0.0461,0.09227,-0.08500,28.87,-89.00,-0.2022,0.0000,0.2022,0.0,1.000,18.47,49.0,-0.0,power
0.028,0.0496,0.09185,-0.08500,28.45,-89.00,-0.2178,0.0000,0.2178,0.0,1.000,18.47,56.9,-0.0,power
0.030,0.0532,0.09140,-0.08500,28.00,-89.00,-0.2333,0.0000,0.2333,0.0,1.000,18.47,65.3,-0.0,power
0.032,0.0567,0.09092,-0.08500,27.52,-89.00,-0.2489,0.0000,0.2489,0.0,1.000,18.47,74.3,-0.0,power
0.034,0.0602,0.09040,-0.08500,27.00,-89.00,-0.2644,0.0000,0.2644,0.0,1.000,18.47,83.9,-0.0,power
0.036,0.0638,0.08986,-0.08500,26.46,-89.00,-0.2800,0.0000,0.2800,0.0,1.000,18.47,94.0,-0.0,power
0.038,0.0673,0.08928,-0.08500,25.88,-89.00,-0.2956,-0.0000,0.2956,0.0,1.000,18.47,104.8,0.0,power
0.040,0.0709,0.08868,-0.08500,25.28,-89.00,-0.3111,0.0000,0.3111,0.0,1.000,18.47,116.1,-0.0,power
0.042,0.0744,0.08804,-0.08500,24.64,-89.00,-0.3267,0.0000,0.3267,0.0,1.000,18.47,128.0,-0.0,power
0.044,0.0780,0.08737,-0.08500,23.97,-89.00,-0.3412,-0.0000,0.3422,0.0,1.000,18.47,139.7,0.0,power
0.046,0.0815,0.08668,-0.08500,23.28,-89.00,-0.3490,0.0000,0.3500,0.0,1.000,18.47,146.1,-0.0,power
0.048,0.0851,0.08597,-0.08500,22.57,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.050,0.0886,0.08527,-0.08500,21.87,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.052,0.0921,0.08457,-0.08500,21.18,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.054,0.0957,0.08388,-0.08500,20.48,-89.00,-0.3500,-0.0000,0.3500,0.0,1.000,18.47,146.9,0.0,power
0.056,0.0992,0.08317,-0.08500,19.78,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.058,0.1028,0.08247,-0.08500,19.07,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.060,0.1063,0.08178,-0.08500,18.38,-89.00,-0.3500,-0.0000,0.3500,0.0,1.000,18.47,146.9,0.0,power
0.062,0.1099,0.08107,-0.08500,17.67,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.064,0.1134,0.08038,-0.08500,16.98,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.066,0.1170,0.07967,-0.08500,16.27,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.068,0.1205,0.07897,-0.08500,15.57,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.070,0.1240,0.07827,-0.08500,14.88,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.072,0.1276,0.07757,-0.08500,14.17,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.074,0.1311,0.07687,-0.08500,13.48,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.076,0.1347,0.07617,-0.08500,12.77,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.078,0.1382,0.07548,-0.08500,12.08,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.080,0.1418,0.07477,-0.08500,11.37,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.082,0.1453,0.07408,-0.08500,10.68,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.084,0.1489,0.07337,-0.08500,9.97,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.086,0.1524,0.07267,-0.08500,9.27,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.088,0.1559,0.07197,-0.08500,8.57,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.090,0.1595,0.07128,-0.08500,7.88,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.092,0.1630,0.07057,-0.08500,7.18,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.094,0.1666,0.06987,-0.08500,6.47,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.096,0.1701,0.06918,-0.08500,5.78,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.098,0.1737,0.06847,-0.08500,5.07,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.100,0.1772,0.06778,-0.08500,4.38,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.102,0.1807,0.06707,-0.08500,3.67,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.104,0.1843,0.06637,-0.08500,2.97,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.106,0.1878,0.06567,-0.08500,2.27,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.108,0.1914,0.06498,-0.08500,1.58,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.110,0.1949,0.06427,-0.08500,0.88,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.112,0.1985,0.06357,-0.08500,0.17,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.114,0.2020,0.06288,-0.08500,-0.52,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.116,0.2056,0.06217,-0.08500,-1.23,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
0.118,0.2091,0.06147,-0.08500,-1.93,-89.00,-0.3500,0.0000,0.3500,0.0,1.000,18.47,146.9,-0.0,power
